Country,Deaths,Year,Population
Afghanistan,6092,2017,36296400
Australia,4,2017,24601860
Colombia,84,2017,48901066
France,7,2017,66865144
India,465,2017,1338658835
Indonesia,20,2017,264645886
Pakistan,1076,2017,207896686
Russia,61,2017,144496740
United Kingdom,42,2017,66058859
United States,95,2017,325147121
Afghanistan,1199,2007,27100536
Colombia,64,2007,20827600
France,3,2007,43737516
India,626,2007,64016225
Indonesia,0,2007,1183209472
Pakistan,1406,2007,232374245
Russia,55,2007,167808105
United Kingdom,4,2007,142805088
United States,0,2007,61322463
Afghanistan,1092,2008,301231207
Australia,0,2008,27722276
Colombia,85,2008,21249200
France,0,2008,44254975
India,824,2008,64374984
Indonesia,0,2008,1200669765
Pakistan,1184,2008,235469762
Russia,95,2008,171648986
United Kingdom,0,2008,142742350
United States,2,2008,61806995
Afghanistan,1065,2009,304093966
Australia,0,2009,28394813
Colombia,107,2009,21691700
France,0,2009,44750054
India,774,2009,64707040
Indonesia,15,2009,1217726215
Pakistan,1487,2009,238620563
Russia,141,2009,175525609
United Kingdom,3,2009,142785342
United States,18,2009,62276270
Afghanistan,1157,2010,306771529
Australia,0,2010,29185507
Colombia,56,2010,22031750
France,0,2010,45222700
India,812,2010,65027507
Indonesia,0,2010,1234281170
Pakistan,1699,2010,241834215
Russia,231,2010,179424641
United Kingdom,0,2010,142849449
United States,4,2010,62766365
Afghanistan,1525,2011,309326085
Colombia,43,2011,30117413
France,0,2011,22340024
India,499,2011,45663099
Indonesia,20,2011,65342780
Pakistan,1676,2011,1250288729
Russia,160,2011,245116206
United Kingdom,1,2011,183340592
United States,0,2011,142960868
Afghanistan,3521,2012,63258918
Colombia,168,2012,311580009
France,8,2012,31161376
India,264,2012,22733465
Indonesia,15,2012,46076848
Pakistan,2784,2012,65659809
Russia,161,2012,1265782790
United Kingdom,2,2012,248452413
United States,7,2012,187281475
Afghanistan,3709,2013,143201676
Australia,0,2013,63700300
Colombia,137,2013,313874218
France,0,2013,32269589
India,467,2013,23128129
Indonesia,23,2013,46497267
Pakistan,2875,2013,65998687
Russia,148,2013,1280846129
United Kingdom,4,2013,251806402
United States,23,2013,191262919
Afghanistan,5414,2014,143506911
Australia,4,2014,64128226
Colombia,143,2014,316057727
France,1,2014,33370794
India,490,2014,23475686
Indonesia,20,2014,46969209
Pakistan,2413,2014,66316100
Russia,67,2014,1295604184
United Kingdom,0,2014,255129004
United States,26,2014,195306825
Afghanistan,6216,2015,143819666
Australia,2,2015,64613160
Colombia,104,2015,318386421
France,162,2015,34413603
India,387,2015,23815995
Indonesia,22,2015,47520667
Pakistan,1608,2015,66593366
Russia,21,2015,1310152403
United Kingdom,1,2015,258383256
United States,54,2015,199426964
Afghanistan,6142,2016,144096870
Australia,0,2016,65128861
Colombia,52,2016,320742673
France,95,2016,35383128
India,467,2016,24190907
Indonesia,22,2016,48171392
Pakistan,1113,2016,66859768
Russia,64,2016,1324509589
United Kingdom,9,2016,261554226
United States,68,2016,203627284
,,,144342396
,,,65595565
,,,323071342
